"Year","District","Species","Hunters","T_harvest","Bucks","Does","Bow","Rifle","four_plus","ung","Bulls","Cows","six_plus","p_success"
2004,"412","all_deer",1958,1871,1070,774,50,1820,745,"deer",NA,NA,NA,0.955566905005107
2004,"412","md",1958,1164,722,433,32,1131,443,"deer",NA,NA,NA,NA
2004,"412","wt",1958,700,345,336,18,682,302,"deer",NA,NA,NA,NA
2004,"413","all_deer",2137,1528,892,612,52,1476,556,"deer",NA,NA,NA,0.715021057557323
2004,"413","md",2137,1066,672,378,21,1045,400,"deer",NA,NA,NA,NA
2004,"413","wt",2137,459,220,231,32,427,156,"deer",NA,NA,NA,NA
2004,"415","all_deer",111,22,22,0,4,19,14,"deer",NA,NA,NA,0.198198198198198
2004,"415","md",111,12,12,0,4,9,9,"deer",NA,NA,NA,NA
2004,"415","wt",111,10,10,0,0,10,6,"deer",NA,NA,NA,NA
2004,"416","all_deer",992,379,266,112,11,368,145,"deer",NA,NA,NA,0.382056451612903
2004,"416","md",992,256,196,59,11,245,97,"deer",NA,NA,NA,NA
2004,"416","wt",992,123,69,53,0,123,48,"deer",NA,NA,NA,NA
2004,"417","all_deer",959,628,446,171,3,625,319,"deer",NA,NA,NA,0.654848800834202
2004,"417","md",959,550,411,134,3,547,293,"deer",NA,NA,NA,NA
2004,"417","wt",959,68,33,33,0,68,27,"deer",NA,NA,NA,NA
2004,"418","all_deer",731,538,271,254,8,531,164,"deer",NA,NA,NA,0.735978112175103
2004,"418","md",731,285,172,107,4,281,88,"deer",NA,NA,NA,NA
2004,"418","wt",731,252,100,147,4,248,76,"deer",NA,NA,NA,NA
2004,"419","all_deer",510,399,239,156,5,394,159,"deer",NA,NA,NA,0.782352941176471
2004,"419","md",510,286,182,102,3,283,110,"deer",NA,NA,NA,NA
2004,"419","wt",510,112,56,54,1,110,49,"deer",NA,NA,NA,NA
2004,"420","all_deer",144,53,31,22,0,53,13,"deer",NA,NA,NA,0.368055555555556
2004,"420","md",144,30,20,11,0,30,6,"deer",NA,NA,NA,NA
2004,"420","wt",144,23,11,12,0,23,7,"deer",NA,NA,NA,NA
2004,"421","all_deer",605,438,263,175,7,431,122,"deer",NA,NA,NA,0.72396694214876
2004,"421","md",605,334,206,128,5,329,96,"deer",NA,NA,NA,NA
2004,"421","wt",605,104,57,47,3,102,26,"deer",NA,NA,NA,NA
2004,"422","all_deer",569,356,321,35,0,356,256,"deer",NA,NA,NA,0.625659050966608
2004,"422","md",569,263,252,11,0,263,202,"deer",NA,NA,NA,NA
2004,"422","wt",569,93,69,23,0,93,54,"deer",NA,NA,NA,NA
2004,"423","all_deer",389,241,206,33,4,237,152,"deer",NA,NA,NA,0.619537275064267
2004,"423","md",389,184,165,18,4,180,122,"deer",NA,NA,NA,NA
2004,"423","wt",389,57,42,16,0,57,30,"deer",NA,NA,NA,NA
2004,"424","all_deer",357,200,167,33,6,194,130,"deer",NA,NA,NA,0.560224089635854
2004,"424","md",357,101,101,0,0,101,72,"deer",NA,NA,NA,NA
2004,"424","wt",357,99,66,33,6,93,58,"deer",NA,NA,NA,NA
2004,"425","all_deer",312,154,134,20,4,150,86,"deer",NA,NA,NA,0.493589743589744
2004,"425","md",312,114,103,11,0,114,60,"deer",NA,NA,NA,NA
2004,"425","wt",312,40,32,8,4,36,27,"deer",NA,NA,NA,NA
2004,"426","all_deer",1169,960,568,383,9,950,359,"deer",NA,NA,NA,0.821214713430282
2004,"426","md",1169,821,479,334,9,812,296,"deer",NA,NA,NA,NA
